90000,300,1.833333333,39.2,362.8,362.8,2.68,1.6,0,0,0.2,2.995,245.3,5.29,285.4,12.15467902
90000,300,1.833333333,39.2,362.8,362.8,2.68,1.6,0,9.456,0.2,2.56,226.1,5.125,256.21,11.08615671
90000,300,1.833333333,39.2,362.8,362.8,2.68,1.6,0,18.911,0.2,2.19,210.01,5.25,234.56,10.95724978
90000,300,1.833333333,39.2,362.8,362.8,2.68,1.6,0,37.822,0.2,2.27,219.22,3.71,251.66,5.74358582
40000,200,2.75,44.8,384.77,326.95,1.539,1,0,0,0.3,1.59,68.99,2.81,77.785,4.16
40000,200,2.75,44.8,384.77,326.95,1.539,1,11.58,26.76,0.21,2.68,79.895,5.89,97.41,6.51924245
40000,200,1.964285714,32.7,410.8,328.42,2.199,2.01,10.12,22.88,0.15,2.26,128.74,4.22,154.255,13.28
40000,200,2.75,44.8,384.77,326.95,1.539,1,10.29,23.31,0.3,2.02,73.335,3.11,87.175,5.081195896
40000,200,2.75,44.8,384.77,326.95,1.539,1,7.88,17.1,0.21,3.22,72.77,5.09,82.8,12.16
62500,250,5,34.79,429.9,440.67,0.985,0.94,0,0,0.2,19.53,56.58,32.37,65.69,65.13
62500,250,5,31.92,429.9,440.67,0.985,0.94,9.87,12.56,0.2,10.43,44.03,19.05,47.59,43.89579369
90000,300,1.516666667,45.109,431.9,312,2.094,0.58,0,0,0.2,11.49,376.77,16.25,428.72,16.98
90000,300,1.516666667,45.109,431.9,312,2.094,0.58,3.2,4.7,0.2,7.85,383.8,11.8,444.53,13.47
90000,300,1.516666667,45.109,431.9,312,2.094,0.58,12.7,24.5,0.2,6.59,356.45,8.98,389.57,10.93
90000,300,1.516666667,45.109,431.9,312,2.094,0.58,11.4,29.5,0.2,7.84,349.17,12.18,418.43,13.7
90000,300,1.516666667,45.109,431.9,312,2.094,0.58,8.9,24.4,0.1,6.91,314.62,12.39,370.03,13.87
90000,300,1.516666667,45.109,431.9,312,2.094,0.58,10.5,23.1,0.3,7.18,370.03,11.38,435.84,13.56
90000,300,1.3,45.109,431.9,312,2.094,0.58,9.2,16.6,0.2,6.72,443.8,10.42,510.64,13.62
90000,300,1.733333333,45.109,431.9,312,2.094,0.58,12.9,29.3,0.2,6.05,319.4,9.67,370.9,15.3
90000,300,1.516666667,42.34,431.9,312,2.094,0.58,9.1,25.5,0.2,8.87,348.32,13.09,407.01,13.72
90000,300,1.516666667,42.34,431.9,312,2.094,0.58,16.9,29.9,0.2,6.56,348.25,9.08,397.39,13.59
125000,500,3.2,18.3,559.5,286,0.814,0.84,0,0,0.38,13.25,171.6,24.8,197.94,40.1
125000,500,3.2,18.3,559.5,286,0.814,0.84,9.467,21.16,0.38,11.74,156.37,21.67,181.7,36.43284481
125000,250,6.4,17.9,559.5,286,0.814,0.42,0,0,0.38,19.8,60.79,34.43,72.79,52.75237849
125000,250,6.4,18.6,559.5,286,0.814,0.42,9.467,21.16,0.35,21.21,56.19,39.08,67.1,58.23132902
90000,300,5,32.46,485,485,1.78,0.58,0,0,0.35,33.6,87.32,50.12,99.27,59.72961486
90000,300,5,32.46,485,485,1.78,0.58,27.6,32.7,0.35,15.32,56.15,22.9,63.98,29.22111416
62500,250,4,32.96,346,335,1.287,0.804,0,0,0.2,10.17,108.53,16.24,122.65,47.04
62500,250,4,32.96,346,335,1.287,0.804,0,0,0.35,11.56,116.8,28.18,137.05,43.66
62500,250,4,32.96,346,335,1.287,0.804,0,21.64,0.2,8.99,93.63,13.01,104.95,33.65
62500,250,4,32.96,346,335,1.287,0.804,0,8.49,0.35,6.91,96.43,10.22,109.19,12.48
62500,250,4,32.96,346,335,1.287,0.402,14.07,0,0.2,10.55,91.6,14.7,106.39,29.17703478
62500,250,4,32.96,346,335,1.287,0.402,9.07,0,0.35,4.38,125.04,9.63,150.69,17.56446628
62500,250,4,32.96,346,335,1.287,0.201,8.85,0,0.2,6.45,77.79,12.44,91.62,18.08144973
62500,250,4,32.96,346,335,1.287,0.201,14.76,0,0.35,7.04,125.15,11.78,149.97,14.25
70685,300,4.666666667,26.48,386,367,2.18,0.22,0,0,0.33,9.96,52.69,20.56,64.43,54.21
70685,300,4.666666667,26.48,386,367,2.18,0.22,3.29,6.21,0.33,9.95,50.36,26.57,60.64,45.27
70685,300,4.666666667,26.48,386,367,2.18,0.38,0,0,0.72,9.13,51.86,20.17,63.47,27.34
70685,300,4.666666667,26.48,386,367,2.18,0.38,3.29,6.21,0.72,5.97,50.39,15.96,62.12,20.84
70685,300,4.666666667,32.1,300,260,1.28,0.52,0,0,0.28,12.46,62.63,26.18,74.8,39.62
70685,300,4.666666667,32.1,300,260,1.28,0.52,14.55,0,0.28,10.22,58.18,18.816,70.58,30.00607982
70685,300,4.666666667,32.1,300,260,1.74,0.52,15.92,0,0.28,9.94,71.8,19.04,87.23,35.54908519
125663,400,4,47.4,457,319,1.92,1.2,0,0,0.15,19.79,98.02,33.02,109.18,97.48
125663,400,4,47.4,457,319,1.92,1.2,6,12.91,0.15,7.08,100.97,14.23,113.65,55.68959323
125663,400,4,47.4,457,319,1.92,1.2,0,0,0.15,25.12,105.7,40.81,120,99.1
125663,400,4,47.4,457,319,1.92,1.2,4.6,8.8,0.15,7.25,96.37,23.48,114.61,41.75804496
